game_date,competition,home_team,away_team,home_score,away_score,venue
2017-11-01,日本シリーズ,横浜DeNAベイスターズ,福岡ソフトバンクホークス,6,0,横浜
2017-11-02,日本シリーズ,横浜DeNAベイスターズ,福岡ソフトバンクホークス,5,4,横浜
